review,rating,place_index,sentiment
"Gà ướp vừa vị , mọng nước . Dù đông nhưng nhân_viên vẫn rất vui_vẻ nhiệt_tình , đồ ăn đc phục_vụ nhanh",5,0,positive
"Quán sạch , đẹp , thoáng mát , nhân_viên phục_vụ tận_tình và mấy chị quản_lý rất vui_vẻ với khách",5,0,positive
"Nhân_viên bự con tên Nam sáng ngày 12 / 03 hỗ_trợ mình oder và nch nhẹ_nhàng , mong quán tiếp tinh_thần cho bạn hơn , tôi sẽ quay lại tiếp",5,0,positive
"Gà giòn_tan , nóng_hổi , ngon . Các bạn nhân_viên thì dễ_thương , nhanh_nhẹn .",5,0,positive
"Gà giòn_rụm , thấm vị , bên trong thịt mềm , mọng nước , đậm_đà ! Nhân_viên thân_thiện , nhanh_nhẹn , gọi món chưa bao_lâu đã có liền . Dịch_vụ quá ổn , 5 sao ! ⭐ ⭐ ⭐ ⭐ ⭐",5,0,positive
"Nhân_viên thân thiệt , ko khí thoáng mát , đồ ăn ra nhanh",5,0,positive
"Phục_vụ nhanh , nhân_viên thân_thiện , đồ ăn ngon . Mình sẽ quay lại lần sau",5,0,positive
"Gà rán thì ở đâu cũng như_vậy . Đó là mình khi chưa đi ăn KFC , ăn một lần mê tới giờ lun . Đặc_biệt nay ăn_ở Phan_Huy_Ích , gà đã ngon mà còn gặp bạn nhân_viên siêu dễ_thương , được cái mình quên mất tên ùi 😭 Sẽ còn quay lại dài_dài 🥰",5,0,positive
"Nhân_viên phục_vụ tận_tình , nhanh_nhẹn , nhiệt_tình , thức_ăn ngon , ra nhanh",5,0,positive
"Mình là fan KFC , gà ngon , không bị khô , thích nhất là gà cay , mình cũng rất hài_lòng với cách phục_vụ ở đây , các bạn phục_vụ rất nhiệt_tình , giá_cả cũng hợp_lý ,",5,0,positive
Gà giòn ngon dù đông nhưng vẫn thấy ra món nhanh nhân_viên nhiệt_tình,5,0,positive
Mình có ghé đây ăn gà và cảm thấy gà ở đây khá ngon và giòn . Nhân_viên thì thân_thiện với khách . Mình sẽ quay lại ăn kfc vào một ngày khác .,5,0,positive
"Ghé quán vào 1 buổi trưa đông_đúc . Nhưng đồ ăn ra vẫn nhanh , gà nóng giòn , nhân_viên thân_thiện .",5,0,positive
"Nhân_viên thân_thiện , đồ ăn ra nhanh , không_gian thoáng mát",5,0,positive
"Ăn nhiều brand gà rán rồi nhưng vẫn ưng KFC đặt biệt là chi_nhánh Phan_Huy_Ích , nhân_viên nhiệt_tình , gà giòn mọng nước . Sẽ ghé lại vào lần sau .",5,0,positive
"Mới ghé tại nhà_hàng , đồ ăn ngon lắm nha , nv phục_vụ nhiệt_tình , mê bạn nữ áo sơmi trắng tên Huỳnh tư_vấn nhiệt_tình , dễ_thương cực .",5,0,positive
